Date,Open,Higt,Low,Close,Volume,RSI,RSISignal,CCI,CCISignal,UpDI,DownDI,ADX,PDI,MDI,WilliamsR,WilliamsD,MACD,MACDSignal,MACDOscillator,Close5ma,Close10ma,Close20ma,Close60ma,INDNB,INSNB,FNB,Call,EX,SSR
2013-04-16,98073,98861,95316,96892,152103,0.3226,0.4642,-182.48,-68.4,10.33,32.29,0.2375,0.1033,0.3229,-0.8518,-0.8341,-537.97,-140.59,-397.38,97.23,96.62,96.26,96.28,5574,-1076,-4150,2.74,1115.2,3
2013-04-17,96892,97285,92559,96104,140020,0.3125,0.4338,-198.99,-94.52,8.06,38.02,0.2925,0.0806,0.3802,-0.7353,-0.7847,-813.94,-275.26,-538.68,97.37,96.52,95.69,95.6,-287,5290,-3495,2.73,1118.5,7.09
2013-04-18,94922,95710,94134,94922,39478,0.2187,0.3908,-175.01,-110.61,7.29,34.38,0.3402,0.0729,0.3438,-0.8236,-0.8041,-1115.17,-443.24,-671.92,97.41,95.98,94.75,94.54,1323,1078,-1386,2.74,1123.7,11.06
2013-04-19,95710,96104,93741,94922,42752,0.1379,0.3402,-135.34,-115.56,8.39,30.36,0.3705,0.0839,0.3036,-0.8236,-0.8138,-1338.46,-622.29,-716.17,98.45,96.48,94.96,94.65,-3687,5226,-1406,2.75,1116.3,1.48
2013-04-22,94528,96104,94134,95710,23021,0.1935,0.3109,-98.51,-112.15,7.54,27.29,0.3967,0.0754,0.2729,-0.7419,-0.7779,-1435.29,-784.89,-650.41,100,97.71,95.97,95.53,-657,-1465,2122,2.75,1119,6.26
2013-04-23,94922,95710,94134,95710,36593,0.1935,0.2874,-85.06,-106.73,6.89,24.96,0.4194,0.0689,0.2496,-0.7037,-0.7408,-1494.8,-926.87,-567.93,100.25,98.1,96.16,95.63,-1532,3312,-2489,2.75,1120.8,6.75
2013-04-24,95710,98073,95316,96892,50596,0.3,0.2899,-33.33,-92.05,18.48,21.29,0.3729,0.1848,0.2129,-0.5416,-0.6412,-1430.1,-1027.52,-402.59,101.32,99.72,97.56,96.87,-2447,-6280,8728,2.75,1117.7,1.93
2013-04-25,97285,97679,96498,96892,25734,0.3462,0.3012,-20.27,-77.7,17.23,19.85,0.3327,0.1723,0.1985,-0.5416,-0.5914,-1363.11,-1094.64,-268.48,100.9,100.16,97.76,96.94,-975,-2866,3967,2.76,1112.1,3.51
2013-04-26,96892,98073,96892,96892,14230,0.3462,0.3102,-6.19,-63.39,18.4,18.41,0.2883,0.184,0.1841,-0.5416,-0.5665,-1295.1,-1134.73,-160.37,100.49,100.49,98.01,97.02,-1078,498,580,2.76,1112.3,21.28
2013-04-29,97679,97679,96104,96892,15105,0.36,0.3202,-14.27,-53.57,16.55,21.58,0.2675,0.1655,0.2158,-0.5416,-0.5541,-1227.05,-1153.19,-73.85,100.24,100.74,98.32,97.09,-1850,1233,767,2.76,1107.2,3.19
2013-04-30,97679,98467,96892,96892,96727,0.2728,0.3107,15.78,-39.7,20.03,19.34,0.2341,0.2003,0.1934,-0.5416,-0.5479,-1159.75,-1154.5,-5.24,100,100.74,98.64,97.1,-559,18662,-17347,2.78,1101.2,2.14
2013-05-02,96892,97285,96104,96104,22795,0.2174,0.292,-14.16,-34.59,18.38,23.25,0.2185,0.1838,0.2325,-0.625,-0.5864,-1156.66,-1154.93,-1.73,99.35,99.92,98.19,96.33,-439,1500,-1061,2.76,1101.6,0.26
2013-05-03,96892,98073,95710,96498,46263,0.2858,0.2908,18.72,-23.93,20.77,19.53,0.1935,0.2077,0.1953,-0.4999,-0.5432,-1109.64,-1145.88,36.24,99.84,100.16,98.85,96.75,-1722,3839,-2117,2.76,1097.1,0.55
2013-05-06,97285,101618,96892,99255,120189,0.5,0.3326,194.38,19.73,34.61,13.96,0.2244,0.3461,0.1396,-0.2608,-0.402,-840.22,-1084.74,244.53,102.19,102.56,101.72,99.5,-14192,23719,-9770,2.77,1094.5,4.7
2013-05-07,98861,102012,98861,100436,78731,0.6956,0.4052,213.91,58.57,30.88,11.6,0.255,0.3088,0.116,-0.1667,-0.2844,-525.34,-972.86,447.52,102.66,103.28,102.91,100.64,-2300,4478,-2013,2.76,1091.4,6.55
2013-05-08,100830,104375,100042,101618,130347,0.7916,0.4825,215.3,89.91,35.87,9.16,0.3001,0.3587,0.0916,-0.2593,-0.2718,-178.37,-813.97,635.59,102.87,103.86,104.01,101.76,-5319,-12523,14468,2.77,1086.5,5.79
2013-05-09,102012,105163,101618,103193,120417,0.92,0.57,186.29,109.19,33.61,7.63,0.344,0.3361,0.0763,-0.1725,-0.2221,221.14,-606.94,828.09,102.99,104.8,105.5,103.26,-14911,16245,-1800,2.51,1091,9.59
